Player,Runs,Wkts
A Kumble,28655,953
R Ashwin,18789,727
Harbhajan Singh,23042,707
N Kapil Dev,19812,687
Z Khan,18797,597
RA Jadeja,16281,553
J Srinath,16043,551
Mohammed Shami,11675,448
I Sharma,14041,434
JJ Bumrah,8094,378
AB Agarkar,10851,349
IK Pathan,8986,301
B Kumar,8674,294
BKV Prasad,9692,292
UT Yadav,9108,288
RJ Shastri,10835,280
BS Bedi,7977,273
Kuldeep Yadav,6066,265
M Prabhakar,8115,253
BS Chandrasekhar,7235,245
A Nehra,7523,233
YS Chahal,5692,217
SR Tendulkar,9354,201
EAS Prasanna,5742,189
HH Pandya,5438,174
S Sreesanth,6067,169
AR Patel,4222,164
MH Mankad,5236,162
S Venkataraghavan,6176,161
A Mishra,4466,156
SLV Raju,4871,156
Maninder Singh,5354,154
SP Gupte,4403,149
Mohammed Siraj,3855,148
Yuvraj Singh,5273,147
PP Ojha,4204,144
S Madan Lal,4983,144
DR Doshi,4026,136
V Sehwag,5651,134
SC Ganguly,5516,132
SN Thakur,3666,129
C Sharma,4499,128
MM Patel,4038,125
RMH Binny,3794,124
RP Singh,4250,124
KD Ghavri,4364,124
P Kumar,3664,112
NS Yadav,3808,110
SB Joshi,3979,110
ND Hirwani,2706,89
RG Nadkarni,2559,88
M Amarnath,3753,78
RK Chauhan,3073,76
SA Durani,2657,75
RB Desai,2761,74
Arshdeep Singh,1478,72
Arshad Ayub,2654,72
L Balaji,2469,71
RR Singh,3017,69
Ghulam Ahmed,2052,68
DG Phadkar,2285,62
SK Raina,2856,62
DS Mohanty,1901,61
M Kartik,2459,61
Washington Sundar,1788,58
S Abid Ali,2167,54
CG Borde,2417,52
A Kuruvilla,1782,50
R Vinay Kumar,1743,49
DL Chahar,1236,47
N Chopra,1364,46
YK Pathan,1803,46
L Amarnath,1481,45
PP Chawla,1538,43
RF Surti,1962,42
L Sivaramakrishnan,1683,41
GS Ramchand,1899,41
RR Powar,1309,40
M Prasidh Krishna,1092,39
Ravi Bishnoi,772,37
MM Sharma,1205,37
PR Umrigar,1473,35
JM Patel,637,29
HV Patel,770,29
AB Dinda,857,29
VR Aaron,1366,29
Harvinder Singh,794,28
L Amar Singh,858,28
KK Ahmed,924,28
Avesh Khan,947,28
SK Sharma,1060,28
KM Jadhav,1020,27
JD Unadkat,757,26
Surendra Nath,1053,26
BS Sandhu,1320,26
M Nissar,707,25
K Srikkanth,755,25
Umran Malik,642,24
STR Binny,751,24
Mukesh Kumar,808,24
